record_id,date,mine_name,state,district,mine_latitude,mine_longitude,target_rom_tonnes,actual_rom_tonnes,equipment_downtime_hours,blast_delay_minutes,rainfall_mm,target_basis,calibration_quality,data_status,shortfall_tonnes,shortfall_pct,shortfall_flag,rain_3d_mm,downtime_3d_hours,rain_7d_mm,downtime_7d_hours,soil_moisture_pct,soil_moisture_3d_avg,soil_moisture_7d_avg,soil_moisture_source
PROD-0000017,2022-04-17,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,877.53,841.08,0.0,26,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,36.45,4.154,1,3.86,3.45,10.14,11.7,18.29,19.93,21.59,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000018,2022-04-18,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,908.27,767.29,1.58,47,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,140.98,15.522,1,3.86,2.21,3.86,12.06,17.25,19.38,20.18,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000019,2022-04-19,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1081.19,1040.27,0.13,0,8.87,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,40.92,3.785,1,8.87,1.71,12.73,10.87,25.22,20.25,20.34,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000020,2022-04-20,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1005.41,893.7,1.33,50,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,111.71,11.111,1,8.87,3.04,12.73,9.46,21.1,21.19,20.49,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000021,2022-04-21,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,914.97,859.3,0.03,0,1.9,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,55.67,6.084,1,10.77,1.49,14.63,6.52,22.56,22.96,20.85,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000022,2022-04-22,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1142.5,1137.97,0.0,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,4.53,0.396,1,1.9,1.36,14.63,3.7,20.91,21.52,21.13,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000023,2022-04-23,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,928.11,857.64,1.22,155,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,70.47,7.593,1,1.9,1.25,10.77,4.29,18.79,20.75,20.59,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000024,2022-04-24,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1027.51,1008.0,0.0,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,19.51,1.899,1,0.0,1.22,10.77,4.29,17.78,19.16,20.52,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000025,2022-04-25,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,994.12,948.41,0.0,37,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,45.71,4.598,1,0.0,1.22,10.77,2.71,16.29,17.62,20.38,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000026,2022-04-26,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,930.01,869.78,0.0,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,60.23,6.476,1,0.0,0.0,1.9,2.58,15.36,16.48,18.97,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000027,2022-04-27,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,861.47,854.94,0.11,0,7.55,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,6.53,0.758,1,7.55,0.11,9.45,1.36,21.69,17.78,19.05,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000028,2022-04-28,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1139.54,1061.86,1.04,0,1.08,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,77.68,6.817,1,8.63,1.15,8.63,2.37,22.99,20.01,19.12,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000029,2022-04-29,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,995.25,953.32,0.0,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,41.93,4.213,1,8.63,1.15,8.63,2.37,21.54,22.07,19.21,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000030,2022-04-30,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,957.36,919.71,4.3,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,37.65,3.933,1,1.08,5.34,8.63,5.45,20.83,21.79,19.5,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000031,2022-05-01,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1029.38,1024.96,0.13,0,8.66,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,4.42,0.429,1,8.66,4.43,17.29,5.58,26.82,23.06,20.79,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000032,2022-05-02,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1062.01,995.32,3.76,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,66.69,6.28,1,8.66,8.19,17.29,9.34,25.4,24.35,22.09,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000033,2022-05-03,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,837.98,770.52,0.33,0,22.29,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,67.46,8.05,1,30.95,4.22,39.58,9.67,45.0,32.41,26.32,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000034,2022-05-04,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,946.12,901.44,0.11,0,7.31,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,44.68,4.722,1,29.6,4.2,39.34,9.67,48.16,39.52,30.11,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000035,2022-05-05,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,938.25,852.27,1.05,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,85.98,9.164,1,29.6,1.49,38.26,9.68,44.41,45.86,33.17,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000036,2022-05-06,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1029.97,889.84,6.4,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,140.13,13.605,1,7.31,7.56,38.26,16.08,44.52,45.7,36.45,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000037,2022-05-07,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1002.38,942.16,1.4,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,60.22,6.008,1,0.0,8.85,38.26,13.18,42.48,43.8,39.54,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000038,2022-05-08,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,948.75,886.43,0.38,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,62.32,6.569,1,0.0,8.18,29.6,13.43,39.94,42.31,41.42,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000039,2022-05-09,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,974.49,935.74,0.39,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,38.75,3.976,1,0.0,2.17,29.6,10.06,36.72,39.71,43.03,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000040,2022-05-10,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,911.77,826.84,2.3,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,84.93,9.315,1,0.0,3.07,7.31,12.03,32.81,36.49,41.29,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000041,2022-05-11,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,940.15,884.26,0.0,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,55.89,5.945,1,0.0,2.69,0.0,11.92,29.03,32.85,38.56,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000042,2022-05-12,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1125.22,997.3,7.27,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,127.92,11.368,1,0.0,9.57,0.0,18.14,26.27,29.37,35.97,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000043,2022-05-13,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,986.26,953.84,1.85,0,5.59,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,32.42,3.287,1,5.59,9.12,5.59,13.59,29.16,28.15,33.77,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000044,2022-05-14,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,934.81,826.29,2.95,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,108.52,11.609,1,5.59,12.07,5.59,15.14,24.86,26.76,31.26,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000045,2022-05-15,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,977.85,930.55,2.24,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,47.3,4.837,1,5.59,7.04,5.59,17.0,22.59,25.54,28.78,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000046,2022-05-16,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1029.03,940.93,0.71,59,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,88.1,8.561,1,0.0,5.9,5.59,17.32,24.38,23.94,27.01,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000047,2022-05-17,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1087.44,994.74,2.41,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,92.7,8.525,1,0.0,5.36,5.59,17.43,21.24,22.74,25.36,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000048,2022-05-18,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1045.41,980.17,1.09,60,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,65.24,6.241,1,0.0,4.21,5.59,18.52,19.01,21.54,23.93,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000049,2022-05-19,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,898.32,898.67,0.0,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,0.0,0.0,0,0.0,3.5,5.59,11.25,18.86,19.7,22.87,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000050,2022-05-20,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,908.13,866.63,0.88,30,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,41.5,4.57,1,0.0,1.97,0.0,10.28,18.56,18.81,21.36,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000051,2022-05-21,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,877.11,866.78,0.0,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,10.33,1.178,1,0.0,0.88,0.0,7.33,19.37,18.93,20.57,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000052,2022-05-22,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,939.54,921.37,0.08,0,5.14,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,18.17,1.934,1,5.14,0.96,5.14,5.17,22.01,19.98,20.49,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000053,2022-05-23,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1005.01,957.19,2.72,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,47.82,4.758,1,5.14,2.8,5.14,7.18,20.12,20.5,19.88,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
