date,mine_name,base_capacity,rainfall_mm,rain_3d_mm,rain_7d_mm,soil_moisture_pct,equipment_downtime_hours,blast_delay_minutes,actual_rom_tonnes
2022-04-07,Balaghat,922.5,0.0,0.0,0.0,3.0,0.71,0.0,892.86
2022-04-08,Balaghat,922.5,0.0,0.0,0.0,3.0,1.32,5.38,863.91
2022-04-09,Balaghat,922.5,0.0,0.0,0.0,3.0,0.5,25.53,892.69
2022-04-10,Balaghat,922.5,0.0,0.0,0.0,3.0,1.02,21.29,893.85
2022-04-11,Balaghat,922.5,0.0,0.0,0.0,3.0,0.67,11.44,896.58
2022-04-12,Balaghat,922.5,0.0,0.0,0.0,3.0,1.12,18.83,894.99
2022-04-13,Balaghat,922.5,0.0,0.0,0.0,3.0,2.08,19.26,870.03
2022-04-14,Balaghat,922.5,0.0,0.0,0.0,3.22,0.25,7.33,902.48
2022-04-15,Balaghat,922.5,0.0,0.0,0.0,3.03,1.34,2.16,869.26
2022-04-16,Balaghat,922.5,0.0,0.0,0.0,3.0,1.86,8.8,860.23
2022-04-17,Balaghat,922.5,0.0,0.0,0.0,4.15,0.73,11.37,911.59
2022-04-18,Balaghat,922.5,0.0,0.0,0.0,4.66,0.0,10.23,946.72
2022-04-19,Balaghat,922.5,0.0,0.0,0.0,4.24,1.27,7.64,877.58
2022-04-20,Balaghat,922.5,0.0,0.0,0.0,4.75,1.14,6.36,872.12
2022-04-21,Balaghat,922.5,0.0,0.0,0.0,3.86,0.0,6.0,928.89
2022-04-22,Balaghat,922.5,0.0,0.0,0.0,4.01,0.44,5.04,909.3
2022-04-23,Balaghat,922.5,0.0,0.0,0.0,5.2,1.26,8.05,880.57
2022-04-24,Balaghat,922.5,0.0,0.0,0.0,5.7,0.55,4.24,898.12
2022-04-25,Balaghat,922.5,0.0,0.0,0.0,4.21,1.24,2.23,921.99
2022-04-26,Balaghat,922.5,0.0,0.0,0.0,4.45,0.92,25.81,871.5
2022-04-27,Balaghat,922.5,1.26,0.42,0.18,6.36,0.36,1.97,917.77
2022-04-28,Balaghat,922.5,0.0,0.42,0.18,9.35,0.54,6.31,908.27
2022-04-29,Balaghat,922.5,0.0,0.42,0.18,7.11,0.0,6.98,920.01
2022-04-30,Balaghat,922.5,0.0,0.0,0.18,8.15,3.54,20.98,844.61
2022-05-01,Balaghat,922.5,0.0,0.0,0.18,6.35,1.33,25.25,870.38
2022-05-02,Balaghat,922.5,0.0,0.0,0.18,5.68,1.42,0.96,901.02
2022-05-03,Balaghat,922.5,7.65,2.55,1.27,7.79,0.61,1.96,903.68
2022-05-04,Balaghat,922.5,0.0,2.55,1.09,8.98,0.76,7.26,932.2
2022-05-05,Balaghat,922.5,0.0,2.55,1.09,6.04,0.75,14.61,913.83
2022-05-06,Balaghat,922.5,0.0,0.0,1.09,6.84,1.41,13.63,839.57
2022-05-07,Balaghat,922.5,4.86,1.62,1.79,7.82,0.0,36.41,885.78
2022-05-08,Balaghat,922.5,0.0,1.62,1.79,5.06,0.74,1.5,912.96
2022-05-09,Balaghat,922.5,0.0,1.62,1.79,3.17,2.12,5.67,881.39
2022-05-10,Balaghat,922.5,13.05,4.35,2.56,8.76,1.44,25.24,899.0
2022-05-11,Balaghat,922.5,4.16,5.74,3.15,10.2,0.51,12.45,907.24
2022-05-12,Balaghat,922.5,0.0,5.74,3.15,9.0,0.0,0.0,900.45
2022-05-13,Balaghat,922.5,0.0,1.39,3.15,8.4,2.9,5.55,849.47
2022-05-14,Balaghat,922.5,0.0,0.0,2.46,8.58,0.0,4.41,919.33
2022-05-15,Balaghat,922.5,0.0,0.0,2.46,8.81,2.69,28.74,846.57
2022-05-16,Balaghat,922.5,0.0,0.0,2.46,6.11,1.11,23.36,868.2
2022-05-17,Balaghat,922.5,0.0,0.0,0.59,6.67,0.64,18.86,886.01
2022-05-18,Balaghat,922.5,0.0,0.0,0.0,6.13,0.58,17.39,889.75
2022-05-19,Balaghat,922.5,0.0,0.0,0.0,5.02,1.54,14.41,841.52
2022-05-20,Balaghat,922.5,0.0,0.0,0.0,5.67,0.39,10.15,909.23
2022-05-21,Balaghat,922.5,10.56,3.52,1.51,9.34,1.59,2.07,851.56
2022-05-22,Balaghat,922.5,0.0,3.52,1.51,9.68,0.27,17.03,881.71
2022-05-23,Balaghat,922.5,0.0,3.52,1.51,8.29,2.01,0.0,902.63
2022-05-24,Balaghat,922.5,9.12,3.04,2.81,9.11,1.21,3.89,861.27
2022-05-25,Balaghat,922.5,26.89,12.01,6.65,18.47,4.03,40.17,817.17
2022-05-26,Balaghat,922.5,9.41,15.14,8.0,23.43,1.56,8.57,852.3
2022-05-27,Balaghat,922.5,24.35,20.22,11.48,31.1,0.41,9.15,846.0
2022-05-28,Balaghat,922.5,0.0,11.25,9.97,28.78,1.78,12.51,867.46
2022-05-29,Balaghat,922.5,0.0,8.12,9.97,25.13,1.07,14.11,897.11
2022-05-30,Balaghat,922.5,0.0,0.0,9.97,23.24,0.77,19.96,865.77
2022-05-31,Balaghat,922.5,0.0,0.0,8.66,23.62,0.0,26.6,900.89
2022-06-01,Balaghat,922.5,0.0,0.0,4.82,23.62,0.42,4.89,911.86
2022-06-02,Balaghat,922.5,0.0,0.0,3.48,22.82,0.0,15.36,942.28
2022-06-03,Balaghat,922.5,81.53,27.18,11.65,49.72,1.84,15.28,776.17
2022-06-04,Balaghat,922.5,0.0,27.18,11.65,47.63,0.3,0.52,832.57
2022-06-05,Balaghat,922.5,0.0,27.18,11.65,43.28,2.43,0.73,816.37
2022-06-06,Balaghat,922.5,0.0,0.0,11.65,42.5,0.5,9.27,868.5
2022-06-07,Balaghat,922.5,0.0,0.0,11.65,42.71,1.1,11.86,837.59
2022-06-08,Balaghat,922.5,0.0,0.0,11.65,40.2,0.0,5.16,862.35
2022-06-09,Balaghat,922.5,0.0,0.0,11.65,37.56,0.15,6.56,875.62
2022-06-10,Balaghat,922.5,0.0,0.0,0.0,35.7,2.11,2.05,826.45
2022-06-11,Balaghat,922.5,24.63,8.21,3.52,41.75,0.0,10.44,843.53
2022-06-12,Balaghat,922.5,53.26,25.96,11.13,58.49,4.32,4.39,701.38
2022-06-13,Balaghat,922.5,0.0,25.96,11.13,54.12,1.85,0.64,790.91
2022-06-14,Balaghat,922.5,0.0,17.75,11.13,52.17,1.57,13.05,810.92
2022-06-15,Balaghat,922.5,0.0,0.0,11.13,51.45,0.0,1.49,848.36
2022-06-16,Balaghat,922.5,38.37,12.79,16.61,60.0,0.27,6.99,792.49
2022-06-17,Balaghat,922.5,11.17,16.51,18.2,59.43,1.69,1.49,764.16
2022-06-18,Balaghat,922.5,24.35,24.63,18.16,60.0,1.7,5.62,754.91
2022-06-19,Balaghat,922.5,42.62,26.05,16.64,60.0,1.19,10.96,755.41
2022-06-20,Balaghat,922.5,80.1,49.03,28.09,60.0,0.62,8.68,767.48
2022-06-21,Balaghat,922.5,0.0,40.91,28.09,58.29,0.68,17.56,813.12
2022-06-22,Balaghat,922.5,48.29,42.8,34.99,60.0,1.25,10.4,820.81
2022-06-23,Balaghat,922.5,0.0,16.1,29.51,56.79,0.37,13.96,821.9
2022-06-24,Balaghat,922.5,0.0,16.1,27.91,55.29,0.76,2.81,813.61
2022-06-25,Balaghat,922.5,0.0,0.0,24.43,49.85,1.97,0.0,813.97
2022-06-26,Balaghat,922.5,43.42,14.47,24.54,60.0,0.57,17.68,782.51
2022-06-27,Balaghat,922.5,55.5,32.97,21.03,60.0,0.77,12.52,766.08
2022-06-28,Balaghat,922.5,41.73,46.88,26.99,60.0,0.87,4.04,807.63
2022-06-29,Balaghat,922.5,0.0,32.41,20.09,55.53,0.23,1.5,829.3
2022-06-30,Balaghat,922.5,0.0,13.91,20.09,52.49,0.54,0.0,802.18
2022-07-01,Balaghat,922.5,28.37,9.46,24.15,57.19,0.87,8.9,827.88
2022-07-02,Balaghat,922.5,50.63,26.33,31.38,60.0,0.86,7.75,773.42
2022-07-03,Balaghat,922.5,64.46,47.82,34.38,60.0,1.24,15.58,751.53
2022-07-04,Balaghat,922.5,0.0,38.36,26.46,56.45,0.71,4.86,783.3
2022-07-05,Balaghat,922.5,20.41,28.29,23.41,59.74,2.42,10.01,767.19
2022-07-06,Balaghat,922.5,77.64,32.68,34.5,60.0,1.38,24.37,725.71
2022-07-07,Balaghat,922.5,14.07,37.37,36.51,60.0,0.17,0.0,854.17
2022-07-08,Balaghat,922.5,32.41,41.37,37.09,60.0,0.6,9.95,776.08
2022-07-09,Balaghat,922.5,0.0,15.49,29.86,57.37,0.56,16.91,771.24
2022-07-10,Balaghat,922.5,83.79,38.73,32.62,60.0,1.01,8.44,744.79
2022-07-11,Balaghat,922.5,40.4,41.4,38.39,60.0,0.0,10.76,819.06
2022-07-12,Balaghat,922.5,0.0,41.4,35.47,54.03,1.2,8.14,808.22
2022-07-13,Balaghat,922.5,0.0,13.47,24.38,48.26,2.0,6.15,827.67
2022-07-14,Balaghat,922.5,0.0,0.0,22.37,45.09,1.27,10.4,825.14
2022-07-15,Balaghat,922.5,109.91,36.64,33.44,60.0,1.4,8.79,702.24
2022-07-16,Balaghat,922.5,66.87,58.92,42.99,60.0,1.2,10.0,768.26
2022-07-17,Balaghat,922.5,0.0,58.92,31.02,57.19,0.63,8.22,813.15
2022-07-18,Balaghat,922.5,49.74,38.87,32.36,60.0,0.14,8.69,817.79
2022-07-19,Balaghat,922.5,69.71,39.82,42.32,60.0,1.49,0.0,770.21
2022-07-20,Balaghat,922.5,21.16,46.87,45.34,60.0,0.03,6.06,797.81
2022-07-21,Balaghat,922.5,64.31,51.73,54.53,60.0,0.59,3.44,787.25
2022-07-22,Balaghat,922.5,84.29,56.59,50.87,60.0,0.07,16.38,754.36
2022-07-23,Balaghat,922.5,0.0,49.54,41.32,57.44,1.53,0.0,816.69
2022-07-24,Balaghat,922.5,14.29,32.86,43.36,58.03,0.0,0.0,804.95
2022-07-25,Balaghat,922.5,19.4,11.23,39.02,60.0,0.84,12.12,769.08
2022-07-26,Balaghat,922.5,0.0,11.23,29.06,55.7,0.92,7.52,805.48
2022-07-27,Balaghat,922.5,29.26,16.22,30.22,60.0,1.3,0.0,791.93
2022-07-28,Balaghat,922.5,59.51,29.59,29.54,60.0,0.86,3.97,765.62
2022-07-29,Balaghat,922.5,55.59,48.12,25.44,60.0,2.41,8.44,784.3
2022-07-30,Balaghat,922.5,23.66,46.25,28.82,60.0,1.26,19.0,785.94
2022-07-31,Balaghat,922.5,47.02,42.09,33.49,60.0,1.6,3.38,754.73
2022-08-01,Balaghat,922.5,62.7,44.46,39.68,60.0,0.63,14.7,783.36
2022-08-02,Balaghat,922.5,0.0,36.57,39.68,57.6,0.62,9.15,778.51
2022-08-03,Balaghat,922.5,0.0,20.9,35.5,54.93,0.94,17.87,841.21
2022-08-04,Balaghat,922.5,0.0,0.0,27.0,51.7,0.77,0.0,848.88
2022-08-05,Balaghat,922.5,55.16,18.39,26.93,60.0,2.46,1.54,725.34
2022-08-06,Balaghat,922.5,43.52,32.89,29.77,60.0,0.6,5.69,796.67
2022-08-07,Balaghat,922.5,0.0,32.89,23.05,57.33,0.54,13.01,802.14
2022-08-08,Balaghat,922.5,44.79,29.44,20.5,60.0,1.02,6.37,797.38
2022-08-09,Balaghat,922.5,0.0,14.93,20.5,55.79,2.47,10.45,785.41
2022-08-10,Balaghat,922.5,59.54,34.78,29.0,60.0,1.55,9.77,763.04
2022-08-11,Balaghat,922.5,48.22,35.92,35.89,60.0,1.45,37.75,740.87
2022-08-12,Balaghat,922.5,50.23,52.66,35.19,60.0,2.54,41.26,720.32
2022-08-13,Balaghat,922.5,0.0,32.82,28.97,57.52,0.56,8.59,805.91
2022-08-14,Balaghat,922.5,53.35,34.53,36.59,60.0,0.17,22.89,800.97
2022-08-15,Balaghat,922.5,24.78,26.04,33.73,60.0,0.76,9.37,800.95
2022-08-16,Balaghat,922.5,0.0,26.04,33.73,58.95,0.69,0.21,794.63
2022-08-17,Balaghat,922.5,62.02,28.93,34.08,60.0,0.63,2.58,777.76
2022-08-18,Balaghat,922.5,26.57,29.53,30.99,60.0,1.4,6.88,775.05
2022-08-19,Balaghat,922.5,0.0,29.53,23.81,57.58,2.24,6.7,763.44
2022-08-20,Balaghat,922.5,0.0,8.86,23.81,54.23,0.03,2.62,834.75
2022-08-21,Balaghat,922.5,0.0,0.0,16.19,51.31,0.86,18.91,805.47
2022-08-22,Balaghat,922.5,0.0,0.0,12.65,47.15,0.3,3.26,828.8
2022-08-23,Balaghat,922.5,0.0,0.0,12.65,43.43,0.41,0.0,867.54
2022-08-24,Balaghat,922.5,53.33,17.78,11.41,60.0,1.33,11.04,782.02
2022-08-25,Balaghat,922.5,35.13,29.48,12.64,60.0,1.55,2.44,762.48
2022-08-26,Balaghat,922.5,26.4,38.28,16.41,60.0,0.99,13.2,820.38
2022-08-27,Balaghat,922.5,8.64,23.39,17.64,60.0,2.89,11.9,744.36
2022-08-28,Balaghat,922.5,27.76,20.94,21.61,60.0,0.34,33.69,785.35
2022-08-29,Balaghat,922.5,0.0,12.14,21.61,56.74,2.93,11.27,794.13
2022-08-30,Balaghat,922.5,56.72,28.16,29.71,60.0,1.32,2.4,788.81
2022-08-31,Balaghat,922.5,0.0,18.91,22.09,54.54,0.93,10.9,818.98
2022-09-01,Balaghat,922.5,109.98,55.57,32.79,60.0,1.45,19.12,721.35
2022-09-02,Balaghat,922.5,0.0,36.66,29.02,57.15,0.36,1.54,831.66
2022-09-03,Balaghat,922.5,0.0,36.66,27.78,55.6,0.44,44.05,777.5
2022-09-04,Balaghat,922.5,72.67,24.22,34.2,60.0,1.09,0.25,766.97
2022-09-05,Balaghat,922.5,0.0,24.22,34.2,56.07,1.57,6.0,800.59
2022-09-06,Balaghat,922.5,40.23,37.63,31.84,60.0,0.0,1.14,800.33
2022-09-07,Balaghat,922.5,0.0,13.41,31.84,55.86,1.78,3.92,782.65
2022-09-08,Balaghat,922.5,0.0,13.41,16.13,51.87,0.0,6.62,816.97
2022-09-09,Balaghat,922.5,64.89,21.63,25.4,60.0,0.82,18.34,755.69
2022-09-10,Balaghat,922.5,132.48,65.79,44.32,60.0,1.9,6.99,663.14
2022-09-11,Balaghat,922.5,82.76,93.38,45.77,60.0,2.37,16.11,719.17
2022-09-12,Balaghat,922.5,0.0,71.75,45.77,57.38,0.69,3.25,820.2
2022-09-13,Balaghat,922.5,6.01,29.59,40.88,54.53,0.0,1.6,847.59
2022-09-14,Balaghat,922.5,42.19,16.06,46.9,60.0,0.86,8.28,800.78
2022-09-15,Balaghat,922.5,132.09,60.1,65.77,60.0,2.53,24.4,656.61
2022-09-16,Balaghat,922.5,0.0,58.09,56.5,55.56,2.18,24.55,758.91
2022-09-17,Balaghat,922.5,0.0,44.03,37.58,52.89,1.3,24.32,795.64
2022-09-18,Balaghat,922.5,0.0,0.0,25.76,49.35,0.53,11.27,823.3
2022-09-19,Balaghat,922.5,0.0,0.0,25.76,47.05,0.78,13.28,834.42
2022-09-20,Balaghat,922.5,30.79,10.26,29.3,54.36,2.43,12.17,761.19
2022-09-21,Balaghat,922.5,64.81,31.87,32.53,60.0,1.95,7.69,782.94
2022-09-22,Balaghat,922.5,59.97,51.86,22.22,60.0,0.98,9.97,793.68
2022-09-23,Balaghat,922.5,0.0,41.59,22.22,56.83,1.58,18.02,785.97
2022-09-24,Balaghat,922.5,58.73,39.56,30.61,60.0,3.17,7.6,754.68
2022-09-25,Balaghat,922.5,0.0,19.58,30.61,55.21,2.17,10.76,799.92
2022-09-26,Balaghat,922.5,0.0,19.58,30.61,52.65,0.51,9.42,836.05
2022-09-27,Balaghat,922.5,5.39,1.8,26.99,50.72,2.89,13.79,771.39
2022-09-28,Balaghat,922.5,11.78,5.73,19.41,52.79,0.0,7.18,813.63
2022-09-29,Balaghat,922.5,0.0,5.73,10.84,48.8,0.48,9.41,851.08
2022-09-30,Balaghat,922.5,0.0,3.93,10.84,45.82,0.93,11.86,819.29
2022-10-01,Balaghat,922.5,0.0,0.0,2.45,43.87,0.41,8.2,839.76
2022-10-02,Balaghat,922.5,0.0,0.0,2.45,40.62,0.73,0.55,855.65
2022-10-03,Balaghat,922.5,0.0,0.0,2.45,37.97,1.05,3.29,852.07
2022-10-04,Balaghat,922.5,0.0,0.0,1.68,35.37,1.13,22.98,836.34
2022-10-05,Balaghat,922.5,0.0,0.0,0.0,35.12,1.58,22.4,821.33
2022-10-06,Balaghat,922.5,16.24,5.41,2.32,38.41,2.07,0.75,854.64
2022-10-07,Balaghat,922.5,0.0,5.41,2.32,36.7,0.66,17.5,870.11
2022-10-08,Balaghat,922.5,0.0,5.41,2.32,34.29,1.4,9.12,847.56
2022-10-09,Balaghat,922.5,0.0,0.0,2.32,32.06,1.0,16.83,878.57
2022-10-10,Balaghat,922.5,16.71,5.57,4.71,35.54,1.03,0.0,889.33
2022-10-11,Balaghat,922.5,0.0,5.57,4.71,33.38,0.47,34.66,860.06
2022-10-12,Balaghat,922.5,2.31,6.34,5.04,33.58,2.1,11.5,808.34
2022-10-13,Balaghat,922.5,0.0,0.77,2.72,32.86,0.31,10.3,844.39
2022-10-14,Balaghat,922.5,0.0,0.77,2.72,31.95,0.0,28.69,883.23
2022-10-15,Balaghat,922.5,0.0,0.0,2.72,29.74,1.79,13.12,832.99
2022-10-16,Balaghat,922.5,0.0,0.0,2.72,27.16,1.55,7.4,856.15
2022-10-17,Balaghat,922.5,0.0,0.0,0.33,27.31,0.57,14.54,889.14
2022-10-18,Balaghat,922.5,0.0,0.0,0.33,26.36,0.8,10.91,882.09
2022-10-19,Balaghat,922.5,0.0,0.0,0.0,22.48,0.91,1.96,886.12
2022-10-20,Balaghat,922.5,9.33,3.11,1.33,25.33,1.1,5.0,881.87
2022-10-21,Balaghat,922.5,46.86,18.73,8.03,38.22,5.96,17.95,738.85
2022-10-22,Balaghat,922.5,0.0,18.73,8.03,36.2,2.35,19.7,806.69
2022-10-23,Balaghat,922.5,0.0,15.62,8.03,33.35,0.82,11.52,864.79
2022-10-24,Balaghat,922.5,0.0,0.0,8.03,33.24,0.68,5.2,854.9
2022-10-25,Balaghat,922.5,0.0,0.0,8.03,29.94,0.78,0.05,867.75
2022-10-26,Balaghat,922.5,1.94,0.65,8.31,26.13,0.0,13.47,908.01
2022-10-27,Balaghat,922.5,0.0,0.65,6.97,24.56,1.22,1.46,891.68
2022-10-28,Balaghat,922.5,8.3,3.41,1.46,24.54,1.71,8.03,887.13
2022-10-29,Balaghat,922.5,0.0,2.77,1.46,22.58,0.91,0.0,930.81
2022-10-30,Balaghat,922.5,0.0,2.77,1.46,18.54,1.86,30.48,848.12
2022-10-31,Balaghat,922.5,4.41,1.47,2.09,18.16,2.04,0.0,896.37
2022-11-01,Balaghat,922.5,0.0,1.47,2.09,18.34,0.0,17.84,937.51
2022-11-02,Balaghat,922.5,0.0,1.47,1.82,17.27,0.73,26.24,907.05
2022-11-03,Balaghat,922.5,0.0,0.0,1.82,17.14,0.0,2.71,923.64
