"record_id","source_record_id","date","mine_name","state","district","scenario_type","action","target_rom_tonnes","actual_rom_tonnes","shortfall_tonnes","shortfall_pct","equipment_downtime_hours","downtime_3d_hours","blast_delay_minutes","rainfall_mm","rain_3d_mm","rain_7d_mm","avg_mn_grade_pct","resources_allocated","duration_hours","action_intensity","available_equipment_pct","available_pumps","labor_available_pct","stockpile_available_tonnes","quality_uplift_pct","recovered_tonnage","remaining_shortfall","action_cost","revenue_saved","net_benefit"
"M4V2-000023","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","18.17","5.07","0.434","93.41","","","","","1.443","39.617","3550.01","369.0","-3181.01"
"M4V2-000024","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","36.02","3.19","0.441","93.59","","","","","1.337","39.723","4051.51","450.0","-3601.51"
"M4V2-000025","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","5.58","11.07","0.888","","9.0","","","","1.668","39.392","6164.87","720.0","-5444.87"
"M4V2-000026","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","10.65","1.2","0.951","","3.0","","","","0.985","40.075","4358.2","198.0","-4160.2"
"M4V2-000027","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","62.25","2.77","0.276","","6.0","","","","1.39","39.67","7921.38","414.0","-7507.38"
"M4V2-000028","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","55.82","7.42","0.937","","6.0","","","","1.53","39.53","8530.23","729.0","-7801.23"
"M4V2-000029","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","46.27","5.8","0.46","70.02","","","","","1.74","39.32","10819.82","756.0","-10063.82"
"M4V2-000030","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","35.19","7.75","0.911","75.48","","","","","2.023","39.037","10030.27","1170.0","-8860.27"
"M4V2-000031","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","49.79","15.27","0.833","100.0","","","","","2.035","39.025","14429.18","2520.0","-11909.18"
"M4V2-000032","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","88.24","19.61","0.417","91.16","","","","","2.369","38.691","18220.69","2808.0","-15412.69"
"M4V2-000033","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","69.9","2.25","0.352","","","84.8","","","1.477","39.583","3550.11","459.0","-3091.11"
"M4V2-000034","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","62.03","20.32","0.95","","","87.55","","","2.016","39.044","5072.82","1449.0","-3623.82"
"M4V2-000035","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","46.18","12.4","0.818","","","71.26","","","1.84","39.22","3793.89","810.0","-2983.89"
"M4V2-000036","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","29.82","14.65","0.669","","","89.57","","","2.052","39.008","3460.94","603.0","-2857.94"
"M4V2-000037","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","41.73","21.41","0.899","","","","159.05","5.145","3.988","37.072","3800.28","8251.72","4451.44"
"M4V2-000038","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","45.05","9.29","0.98","","","","341.96","4.775","5.046","36.014","3205.62","27943.56","24737.94"
"M4V2-000039","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","43.34","2.43","0.305","","","","370.67","2.835","3.901","37.159","2621.57","6622.21","4000.64"
"M4V2-000040","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","69.59","9.31","0.644","","","","89.84","4.321","3.29","37.77","3763.16","1770.45","-1992.71"
"M4V2-000041","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","73.01","13.16","0.306","70.08","","","","","3.781","71.519","7392.8","8667.0","1274.2"
"M4V2-000042","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","32.2","1.38","0.506","80.98","","","","","3.066","72.234","3535.63","3924.0","388.37"
"M4V2-000043","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","12.47","13.41","0.947","80.23","","","","","3.14","72.16","4528.01","8001.0","3472.99"
"M4V2-000044","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","35.81","4.33","0.386","79.15","","","","","3.047","72.253","4319.01","3708.0","-611.01"
"M4V2-000045","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","87.98","22.24","0.452","","4.0","","","","4.073","71.227","13648.29","3069.0","-10579.29"
"M4V2-000046","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","31.73","20.17","0.418","","8.0","","","","3.027","72.273","9530.29","2907.0","-6623.29"
"M4V2-000047","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","92.39","16.97","0.585","","8.0","","","","3.631","71.669","12927.71","4986.0","-7941.71"
"M4V2-000048","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","30.27","3.29","0.721","","4.0","","","","2.664","72.636","6356.19","1296.0","-5060.19"
"M4V2-000049","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","62.26","21.52","0.28","65.56","","","","","3.943","71.357","16713.52","16857.0","143.48"
"M4V2-000050","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","21.52","19.96","0.684","53.11","","","","","4.527","70.773","12708.82","17109.0","4400.18"
"M4V2-000051","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","97.44","2.55","0.786","70.73","","","","","4.223","71.077","13444.68","18288.0","4843.32"
"M4V2-000052","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","50.73","17.97","0.901","65.4","","","","","5.516","69.784","14581.11","27720.0","13138.89"
"M4V2-000053","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","7.92","16.96","0.99","","","95.66","","","4.358","70.942","2843.65","6786.0","3942.35"
"M4V2-000054","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","28.56","23.13","0.299","","","86.54","","","3.455","71.845","4035.39","6687.0","2651.61"
"M4V2-000055","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","6.75","6.77","0.307","","","81.31","","","3.078","72.222","1794.17","2268.0","473.83"
"M4V2-000056","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","88.17","14.99","0.288","","","75.74","","","4.414","70.886","5455.88","7857.0","2401.12"
"M4V2-000057","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","89.16","14.89","0.521","","","","32.93","3.477","4.919","70.381","4594.76","555.62","-4039.14"
"M4V2-000058","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","67.68","14.39","0.862","","","","211.49","5.304","8.14","67.16","3978.09","26721.86","22743.77"
"M4V2-000059","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","64.57","21.06","0.119","","","","334.1","3.323","7.269","68.031","4537.56","38534.75","33997.19"
"M4V2-000060","PROD-000003","2022-04-03","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","498.27","422.97","75.3","15.1123","4.59","7.31","7.0","0.0","7.75","7.75","29.853","34.05","5.34","0.291","","","","160.99","2.486","4.783","70.517","2776.36","2622.13","-154.23"
"M4V2-000061","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","69.46","14.0","0.671","74.19","","","","","2.509","54.891","7115.51","12024.0","4908.49"
"M4V2-000062","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","28.8","22.78","0.415","67.01","","","","","2.25","55.15","6674.13","8163.0","1488.87"
"M4V2-000063","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","97.42","19.59","0.696","58.49","","","","","2.852","54.548","9364.6","14463.0","5098.4"
"M4V2-000064","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","60.54","2.27","0.556","62.13","","","","","1.83","55.57","5178.88","7137.0","1958.12"
"M4V2-000065","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","82.19","22.94","0.533","","2.0","","","","2.949","54.451","13467.64","549.0","-12918.64"
"M4V2-000066","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","32.34","22.12","0.483","","6.0","","","","2.235","55.165","10404.32","531.0","-9873.32"
"M4V2-000067","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","78.0","6.19","0.355","","3.0","","","","2.18","55.22","9805.56","252.0","-9553.56"
"M4V2-000068","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","48.76","22.73","0.835","","3.0","","","","2.475","54.925","11255.13","495.0","-10760.13"
"M4V2-000069","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","46.43","4.72","0.266","55.3","","","","","2.11","55.29","10243.44","7596.0","-2647.44"
"M4V2-000070","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","9.65","15.22","0.122","64.79","","","","","2.164","55.236","10043.66","7893.0","-2150.66"
"M4V2-000071","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","45.92","15.59","0.182","69.23","","","","","2.686","54.714","13026.04","12060.0","-966.04"
"M4V2-000072","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","39.32","8.02","0.646","70.08","","","","","2.605","54.795","10204.1","14742.0","4537.9"
"M4V2-000073","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","18.83","21.37","0.13","","","73.04","","","1.928","55.472","3573.45","1782.0","-1791.45"
"M4V2-000074","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","29.85","7.01","0.958","","","100.0","","","2.831","54.569","2669.98","3051.0","381.02"
"M4V2-000075","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","31.53","20.25","0.147","","","87.95","","","2.47","54.93","3893.87","2655.0","-1238.87"
"M4V2-000076","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","26.5","3.54","0.606","","","87.71","","","1.804","55.596","2122.8","2061.0","-61.8"
"M4V2-000077","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","85.37","1.29","0.448","","","","289.53","1.85","5.675","51.725","3642.08","13565.56","9923.48"
"M4V2-000078","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","42.77","21.52","0.748","","","","309.65","3.588","5.767","51.633","3882.85","33365.45","29482.6"
"M4V2-000079","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","58.2","4.12","0.486","","","","246.83","2.742","4.66","52.74","3130.54","10373.9","7243.36"
"M4V2-000080","PROD-000004","2022-04-04","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","529.38","471.98","57.4","10.8429","2.04","9.23","0.0","0.0","0.0","7.75","29.853","62.99","6.42","0.976","","","","118.28","5.821","4.79","52.61","3424.85","4761.97","1337.12"
"M4V2-000081","PROD-000005","2022-04-05","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","561.33","530.73","30.6","5.4513","0.0","6.63","0.0","0.0","0.0","7.75","29.853","99.91","10.48","0.136","87.58","","","","","1.437","29.163","8240.33","2133.0","-6107.33"
"M4V2-000082","PROD-000005","2022-04-05","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","561.33","530.73","30.6","5.4513","0.0","6.63","0.0","0.0","0.0","7.75","29.853","34.21","17.0","0.747","83.27","","","","","1.277","29.323","6212.5","3258.0","-2954.5"
"M4V2-000083","PROD-000005","2022-04-05","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","561.33","530.73","30.6","5.4513","0.0","6.63","0.0","0.0","0.0","7.75","29.853","81.47","18.48","0.1","73.2","","","","","1.061","29.539","8407.36","2826.0","-5581.36"
"M4V2-000084","PROD-000005","2022-04-05","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","561.33","530.73","30.6","5.4513","0.0","6.63","0.0","0.0","0.0","7.75","29.853","72.65","1.09","0.561","62.29","","","","","1.115","29.485","5411.85","1665.0","-3746.85"
"M4V2-000085","PROD-000005","2022-04-05","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","561.33","530.73","30.6","5.4513","0.0","6.63","0.0","0.0","0.0","7.75","29.853","30.6","5.88","0.654","","4.0","","","","0.893","29.707","6720.08","27.0","-6693.08"
"M4V2-000086","PROD-000005","2022-04-05","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","561.33","530.73","30.6","5.4513","0.0","6.63","0.0","0.0","0.0","7.75","29.853","53.17","1.15","0.136","","3.0","","","","0.626","29.974","7116.66","9.0","-7107.66"
"M4V2-000087","PROD-000005","2022-04-05","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","561.33","530.73","30.6","5.4513","0.0","6.63","0.0","0.0","0.0","7.75","29.853","34.02","20.94","0.903","","6.0","","","","1.33","29.27","10401.26","90.0","-10311.26"
"M4V2-000088","PROD-000005","2022-04-05","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","561.33","530.73","30.6","5.4513","0.0","6.63","0.0","0.0","0.0","7.75","29.853","61.21","21.86","0.493","","7.0","","","","1.537","29.063","11829.18","81.0","-11748.18"
"M4V2-000089","PROD-000005","2022-04-05","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","561.33","530.73","30.6","5.4513","0.0","6.63","0.0","0.0","0.0","7.75","29.853","66.72","13.7","0.466","66.49","","","","","1.149","29.451","14800.27","4797.0","-10003.27"
"M4V2-000090","PROD-000005","2022-04-05","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","561.33","530.73","30.6","5.4513","0.0","6.63","0.0","0.0","0.0","7.75","29.853","14.66","11.58","0.391","68.81","","","","","1.028","29.572","9495.38","1872.0","-7623.38"
"M4V2-000091","PROD-000005","2022-04-05","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","561.33","530.73","30.6","5.4513","0.0","6.63","0.0","0.0","0.0","7.75","29.853","40.15","3.53","0.885","76.12","","","","","1.085","29.515","9408.38","3762.0","-5646.38"
"M4V2-000092","PROD-000005","2022-04-05","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","561.33","530.73","30.6","5.4513","0.0","6.63","0.0","0.0","0.0","7.75","29.853","49.74","5.99","0.434","84.03","","","","","1.298","29.302","11300.42","3753.0","-7547.42"
