record_id,mine_name,state,district,mine_latitude,mine_longitude,coordinate_quality,lithology,from_m,to_m,thickness_m,specific_gravity,area_m2,chemistry_schema,mn_pct,mno_pct,mno2_pct,fe2o3_pct,sio2_pct,p2o5_pct,tio2_pct,al2o3_pct,cao_pct,mgo_pct,ai_pct,s2_b4,s2_b8,s2_b11,s2_b12,aster_b4,aster_b5,aster_b6,aster_b7,aster_b8,aster_b9,data_status
GEO-000029,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,94.28,95.49,1.21,3.427,391.8,HIVRA_STYLE,44.26,57.53,,17.68,7.22,0.533,0.1,5.89,3.29,1.8,,0.133246,0.209006,0.131262,0.133112,0.181968,0.151038,0.182995,0.161186,0.152027,0.173321,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000030,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-biotite-muscovite schist,250.0,250.48,0.48,3.397,552.9,MANDRI_STYLE,30.91,,8.47,16.47,53.7,1.262,,,,,10.98,0.068392,0.124752,0.093939,0.100094,0.074991,0.045524,0.129316,0.069917,0.098054,0.097856,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000031,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,98.35,98.79,0.45,3.4,118.9,HIVRA_STYLE,21.65,27.72,,13.76,40.37,0.687,0.356,9.3,3.73,3.21,,0.236217,0.318897,0.276811,0.248833,0.274718,0.266472,0.269685,0.263609,0.2749,0.247021,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000032,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Dolomitic marble,121.77,127.19,5.42,3.419,120.65,HIVRA_STYLE,40.97,52.83,,7.1,20.62,0.409,0.443,7.49,4.1,2.79,,0.153103,0.254416,0.209097,0.210366,0.206644,0.168667,0.239942,0.179498,0.183671,0.199414,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000033,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,35.69,36.81,1.13,3.377,530.07,HIVRA_STYLE,35.08,45.15,,6.15,28.39,0.723,0.175,8.73,4.48,2.61,,0.05836,0.135459,0.137906,0.074416,0.102246,0.102743,0.117768,0.109627,0.110965,0.097243,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000034,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-biotite-muscovite schist,40.56,41.77,1.21,3.388,160.28,HIVRA_STYLE,15.14,19.33,,6.81,46.46,1.652,0.254,12.09,3.52,2.19,,0.14644,0.229934,0.212875,0.150711,0.214746,0.154916,0.155616,0.19104,0.165825,0.162299,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000035,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,40.58,41.81,1.23,3.66,268.85,HIVRA_STYLE,32.16,41.78,,8.99,32.52,0.535,0.456,5.49,3.59,2.4,,0.179926,0.263083,0.23103,0.169623,0.235688,0.212642,0.215632,0.214366,0.2309,0.227603,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000036,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,31.69,32.53,0.84,3.614,143.84,HIVRA_STYLE,24.93,32.29,,13.88,36.08,1.088,0.352,4.64,4.51,2.46,,0.244649,0.325223,0.245726,0.242645,0.312154,0.268979,0.286763,0.274905,0.278348,0.27106,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000037,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,166.75,167.78,1.03,3.416,142.65,HIVRA_STYLE,28.3,36.74,,10.82,26.24,1.559,0.494,9.53,4.37,2.47,,0.111281,0.170714,0.112847,0.134575,0.112188,0.121757,0.152409,0.128884,0.159607,0.112018,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000038,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,80.51,82.0,1.49,3.432,169.32,HIVRA_STYLE,28.93,37.26,,11.97,33.7,0.892,0.405,5.45,3.07,2.26,,0.092531,0.121233,0.098923,0.088187,0.097585,0.072443,0.119225,0.060598,0.075633,0.067483,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000039,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,84.99,86.35,1.36,3.676,137.52,HIVRA_STYLE,41.8,53.69,,5.37,24.55,0.563,0.382,6.57,2.21,1.45,,0.195423,0.29298,0.251192,0.178943,0.258052,0.18771,0.229735,0.227211,0.271204,0.21947,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000040,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Dolomitic marble,18.53,19.66,1.12,3.446,236.76,MANDRI_STYLE,21.94,,16.59,24.16,25.18,1.771,,,,,15.88,0.167652,0.253983,0.176167,0.181291,0.212298,0.184358,0.190438,0.201715,0.19963,0.224996,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000041,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-biotite-muscovite schist,71.17,72.95,1.79,3.633,394.67,HIVRA_STYLE,13.56,17.55,,8.95,51.27,1.32,0.334,9.61,3.7,1.82,,0.178399,0.197517,0.195921,0.159709,0.179474,0.182338,0.192252,0.19138,0.212124,0.166878,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000042,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,57.51,58.98,1.48,3.492,270.91,MANDRI_STYLE,29.38,,9.73,31.22,51.29,0.849,,,,,6.66,0.108837,0.171709,0.136107,0.100582,0.128414,0.111772,0.146815,0.13921,0.11432,0.095663,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000043,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,55.07,56.25,1.18,3.418,244.03,MANDRI_STYLE,26.65,,8.84,24.09,29.21,1.358,,,,,11.36,0.083979,0.145413,0.110432,0.088929,0.118272,0.11448,0.115735,0.080576,0.129989,0.116431,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000044,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,34.05,35.17,1.12,3.409,217.13,MANDRI_STYLE,30.93,,16.34,13.57,28.82,1.281,,,,,13.36,0.209429,0.261927,0.240648,0.133913,0.216622,0.2022,0.206112,0.172131,0.230947,0.188305,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000045,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,85.72,86.68,0.96,3.401,534.48,HIVRA_STYLE,32.28,41.69,,12.15,23.83,0.846,0.265,7.32,3.54,3.48,,0.147438,0.216291,0.211828,0.111478,0.162057,0.149248,0.188545,0.19124,0.177317,0.13935,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000046,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,10.03,10.51,0.48,3.415,274.97,MANDRI_STYLE,27.38,,18.78,21.38,58.71,0.667,,,,,6.39,0.103254,0.138495,0.111014,0.112568,0.099011,0.110295,0.104005,0.103814,0.134545,0.086715,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000047,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,86.7,87.94,1.24,3.41,349.87,HIVRA_STYLE,39.62,51.43,,9.04,17.32,2.27,0.329,7.99,3.49,2.51,,0.105416,0.199722,0.16126,0.112683,0.162713,0.104373,0.170849,0.120156,0.164766,0.122773,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000048,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,138.37,140.15,1.77,3.44,110.19,HIVRA_STYLE,32.04,41.58,,5.5,39.33,0.631,0.374,5.13,3.96,2.2,,0.107035,0.171792,0.137363,0.097081,0.111784,0.127353,0.12316,0.131816,0.144183,0.09549,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000049,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartzite,76.52,77.74,1.21,3.43,750.0,MANDRI_STYLE,26.38,,11.88,13.7,68.67,1.171,,,,,12.28,0.098092,0.171043,0.136913,0.14651,0.145997,0.093798,0.144941,0.14543,0.159418,0.13294,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000050,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,165.25,166.87,1.62,3.414,124.09,HIVRA_STYLE,27.95,35.96,,10.23,29.39,1.68,0.332,9.5,4.9,2.16,,0.205299,0.233509,0.233257,0.203838,0.220254,0.21615,0.224869,0.179048,0.211781,0.217091,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000051,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Biotite gneiss,52.71,53.97,1.27,3.377,350.07,MANDRI_STYLE,47.98,,12.12,6.91,7.0,1.376,,,,,12.14,0.155351,0.224644,0.176058,0.148993,0.170209,0.188003,0.204655,0.15278,0.211638,0.14888,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000052,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,26.03,26.57,0.54,3.424,293.84,HIVRA_STYLE,24.4,31.84,,9.52,41.24,1.09,0.168,8.09,4.22,1.4,,0.181679,0.255667,0.207099,0.146197,0.184564,0.20567,0.188303,0.185466,0.205511,0.214916,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000053,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-biotite-muscovite schist,66.63,68.69,2.06,3.377,287.76,HIVRA_STYLE,44.86,58.12,,7.85,20.57,0.827,0.383,3.03,1.77,2.65,,0.111214,0.192632,0.165499,0.101617,0.147783,0.155605,0.155049,0.114919,0.130591,0.14212,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000054,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,23.68,24.71,1.03,3.39,245.89,MANDRI_STYLE,24.64,,15.92,24.4,43.63,1.013,,,,,16.88,0.148833,0.195184,0.204026,0.108977,0.153858,0.157158,0.139853,0.130923,0.124748,0.18623,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000055,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Calc-silicate rock,100.61,101.71,1.1,3.42,150.73,HIVRA_STYLE,36.94,47.78,,9.64,25.93,1.396,0.347,9.14,2.39,2.43,,0.060269,0.15741,0.095826,0.103248,0.105534,0.085884,0.107418,0.061101,0.112194,0.109328,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000056,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Biotite gneiss,102.22,103.27,1.05,3.419,135.31,HIVRA_STYLE,29.44,38.13,,14.83,31.76,0.611,0.324,7.22,3.32,1.7,,0.05997,0.128984,0.11504,0.090823,0.07703,0.064652,0.107436,0.079528,0.107878,0.122359,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000057,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,94.4,95.55,1.15,3.414,362.67,MANDRI_STYLE,37.99,,22.33,15.7,34.19,1.429,,,,,12.34,0.181932,0.250601,0.225194,0.173995,0.226937,0.208459,0.225001,0.198124,0.240154,0.197286,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000058,Ukwa,Madhya Pradesh,Balaghat,21.974667,80.46,PUBLIC_TECHNICAL_MONITORING_POINT,Mn ore,19.05,20.28,1.23,3.627,424.7,HIVRA_STYLE,28.5,36.66,,8.7,33.32,0.661,0.338,7.91,4.03,2.35,,0.14821,0.208081,0.185736,0.103744,0.130707,0.174225,0.156263,0.141569,0.161002,0.130138,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000059,Ukwa,Madhya Pradesh,Balaghat,21.974667,80.46,PUBLIC_TECHNICAL_MONITORING_POINT,Gondite,13.33,19.83,6.5,3.651,137.15,HIVRA_STYLE,31.31,40.53,,10.7,27.95,0.458,0.39,7.05,3.55,2.84,,0.095468,0.134976,0.119172,0.083625,0.138857,0.095895,0.110125,0.142792,0.114652,0.096829,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000060,Ukwa,Madhya Pradesh,Balaghat,21.974667,80.46,PUBLIC_TECHNICAL_MONITORING_POINT,Mn ore,124.99,127.74,2.75,3.622,228.43,HIVRA_STYLE,32.28,41.97,,4.64,31.34,0.871,0.173,10.93,3.42,2.55,,0.055056,0.08861,0.068172,0.049776,0.082814,0.057295,0.085504,0.06893,0.074418,0.054004,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000061,Ukwa,Madhya Pradesh,Balaghat,21.974667,80.46,PUBLIC_TECHNICAL_MONITORING_POINT,Calc-silicate rock,79.99,82.2,2.22,3.389,113.99,HIVRA_STYLE,17.92,23.16,,10.86,43.3,1.375,0.463,7.95,3.75,2.39,,0.123349,0.195013,0.143333,0.125926,0.135893,0.121508,0.112274,0.117269,0.153658,0.135214,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000062,Ukwa,Madhya Pradesh,Balaghat,21.974667,80.46,PUBLIC_TECHNICAL_MONITORING_POINT,Biotite gneiss,157.45,158.56,1.11,3.406,177.95,HIVRA_STYLE,30.55,39.17,,10.8,30.18,0.562,0.261,9.73,2.98,2.05,,0.160481,0.223524,0.14712,0.123534,0.171818,0.136652,0.156465,0.152146,0.135986,0.170657,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000063,Ukwa,Madhya Pradesh,Balaghat,21.974667,80.46,PUBLIC_TECHNICAL_MONITORING_POINT,Calc-silicate rock,38.25,40.08,1.84,3.471,539.94,HIVRA_STYLE,28.09,36.13,,14.23,28.57,1.057,0.181,7.54,2.27,3.72,,0.085181,0.14339,0.110396,0.054667,0.093025,0.086414,0.120077,0.12131,0.123398,0.110624,SYNTHETIC_SCHEMA_FAITHFUL
