record_id,mine_name,state,district,mine_latitude,mine_longitude,coordinate_quality,lithology,from_m,to_m,thickness_m,specific_gravity,area_m2,chemistry_schema,mn_pct,mno_pct,mno2_pct,fe2o3_pct,sio2_pct,p2o5_pct,tio2_pct,al2o3_pct,cao_pct,mgo_pct,ai_pct,s2_b4,s2_b8,s2_b11,s2_b12,aster_b4,aster_b5,aster_b6,aster_b7,aster_b8,aster_b9,data_status,volume_m3,estimated_tonnage_proxy_t,ndvi,s2_b11_b12_ratio,aster_b4_b5_ratio,aster_b6_b7_ratio,aster_b8_b9_ratio,grade_band,mno_pct_missing,mno2_pct_missing,fe2o3_pct_missing,sio2_pct_missing,p2o5_pct_missing,tio2_pct_missing,al2o3_pct_missing,cao_pct_missing,mgo_pct_missing,ai_pct_missing,reference_price_inr_per_t,production_cost_inr_per_t,price_reference_type,cost_reference_type,gross_margin_proxy_inr_per_t,estimated_gross_value_inr,profit_proxy_inr
GEO-000011,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,60.81,67.31,6.5,3.399,134.79,HIVRA_STYLE,31.82,41.09,12.0,13.41,29.61,0.95,0.346,9.16,2.23,2.33,12.01,0.083006,0.17048,0.119933,0.076045,0.114748,0.073384,0.118578,0.080969,0.096817,0.084643,SYNTHETIC_SCHEMA_FAITHFUL,876.14,2978.0,0.345084,1.577132,1.563665,1.464486,1.143828,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,11341683.22,-13515533.88
GEO-000012,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Biotite gneiss,151.14,152.87,1.73,3.647,207.96,HIVRA_STYLE,31.36,40.26,12.0,6.69,33.47,0.663,0.352,9.2,3.32,1.94,12.01,0.064955,0.088205,0.080543,0.03796,0.077287,0.055375,0.087027,0.050656,0.063273,0.061849,SYNTHETIC_SCHEMA_FAITHFUL,359.77,1312.08,0.151802,2.121786,1.395702,1.718,1.023024,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,4997043.56,-5954822.6
GEO-000013,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,28.48,29.98,1.5,3.37,243.2,HIVRA_STYLE,25.36,32.81,12.0,7.04,42.27,0.82,0.336,8.12,2.91,1.86,12.01,0.133792,0.21669,0.145873,0.137437,0.161261,0.174966,0.199268,0.142717,0.14985,0.151352,SYNTHETIC_SCHEMA_FAITHFUL,364.8,1229.38,0.236526,1.061381,0.92167,1.396246,0.990076,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,4682081.44,-5579491.95
GEO-000014,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Biotite gneiss,6.47,12.68,6.22,3.63,287.85,HIVRA_STYLE,35.32,45.46,12.0,9.5,25.7,0.946,0.517,6.12,2.79,2.11,12.01,0.171126,0.246072,0.206697,0.181307,0.204676,0.211747,0.178074,0.238952,0.191619,0.227629,SYNTHETIC_SCHEMA_FAITHFUL,1790.43,6499.26,0.179641,1.140039,0.966606,0.745229,0.841804,35_TO_BELOW_46,0,1,0,0,0,0,0,0,0,1,13127.91,8346.95,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,4780.96,85321700.35,31072702.09
GEO-000015,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,25.74,27.9,2.17,3.371,159.82,HIVRA_STYLE,14.71,18.85,12.0,8.55,52.3,0.93,0.1,7.94,5.16,2.52,12.01,0.149578,0.217265,0.229924,0.181322,0.223095,0.208725,0.169361,0.204966,0.206662,0.232254,SYNTHETIC_SCHEMA_FAITHFUL,346.81,1169.1,0.184512,1.268042,1.068847,0.826288,0.88981,BELOW_25,0,1,0,0,0,0,0,0,0,1,5154.44,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-3192.51,6026055.8,-3732363.44
GEO-000016,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,148.93,150.42,1.49,3.393,277.19,HIVRA_STYLE,30.66,40.03,12.0,3.88,39.79,0.915,0.289,6.34,2.96,2.31,12.01,0.096384,0.179685,0.13522,0.10848,0.14413,0.11087,0.128547,0.104748,0.139151,0.107804,SYNTHETIC_SCHEMA_FAITHFUL,413.01,1401.34,0.30174,1.246497,1.299991,1.227202,1.290778,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,5336989.38,-6359925.54
GEO-000017,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,55.34,56.53,1.19,3.435,181.16,MANDRI_STYLE,34.58,37.66,16.94,9.94,35.16,1.231,0.337,7.654999999999999,3.43,2.295,11.35,0.101935,0.122357,0.100759,0.085842,0.115546,0.12187,0.131243,0.129925,0.076512,0.099934,SYNTHETIC_SCHEMA_FAITHFUL,215.58,740.52,0.091051,1.173773,0.948109,1.010144,0.765625,25_TO_BELOW_35,1,0,0,0,0,1,1,1,1,0,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,2820263.01,-3360820.4
GEO-000018,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Calc-silicate rock,58.45,58.88,0.43,3.482,360.46,HIVRA_STYLE,28.49,36.56,12.0,6.07,32.3,0.422,0.438,10.37,3.95,3.18,12.01,0.121554,0.185698,0.169506,0.079894,0.172561,0.157033,0.14891,0.152591,0.134945,0.153424,SYNTHETIC_SCHEMA_FAITHFUL,155.0,539.71,0.208767,2.121636,1.098884,0.975877,0.879556,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,2055480.14,-2449452.25
GEO-000019,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartzite,69.83,70.33,0.49,3.417,217.77,HIVRA_STYLE,28.61,36.84,12.0,9.6,32.99,1.015,0.359,8.39,4.68,2.63,12.01,0.085286,0.165602,0.106797,0.069853,0.122931,0.108422,0.136828,0.083539,0.117582,0.102427,SYNTHETIC_SCHEMA_FAITHFUL,106.71,364.63,0.320127,1.528882,1.13382,1.637894,1.147959,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,1388689.71,-1654858.67
GEO-000020,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartzite,36.92,38.14,1.22,3.523,204.97,HIVRA_STYLE,39.02,50.27,12.0,6.69,27.43,1.19,0.471,3.0,3.61,2.79,12.01,0.106396,0.20984,0.138045,0.133774,0.158618,0.155166,0.130774,0.126904,0.154897,0.127342,SYNTHETIC_SCHEMA_FAITHFUL,250.06,880.96,0.32711,1.031927,1.022247,1.030495,1.216386,35_TO_BELOW_46,0,1,0,0,0,0,0,0,0,1,13127.91,8346.95,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,4780.96,11565163.59,4211834.52
GEO-000021,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Biotite gneiss,37.77,38.72,0.95,3.435,108.5,HIVRA_STYLE,37.22,47.8,12.0,7.82,26.21,2.033,0.38,7.34,2.84,1.89,12.01,0.142512,0.207855,0.143214,0.102078,0.148235,0.168644,0.202082,0.169755,0.175729,0.137212,SYNTHETIC_SCHEMA_FAITHFUL,103.07,354.05,0.186499,1.402986,0.878982,1.190433,1.280712,35_TO_BELOW_46,0,1,0,0,0,0,0,0,0,1,13127.91,8346.95,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,4780.96,4647936.54,1692698.89
GEO-000022,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-biotite-muscovite schist,23.1,26.04,2.94,3.449,188.44,MANDRI_STYLE,36.56,37.66,9.96,17.46,35.97,3.244,0.337,7.654999999999999,3.43,2.295,10.56,0.102746,0.130125,0.116766,0.073312,0.139172,0.077111,0.100728,0.062288,0.078743,0.093646,SYNTHETIC_SCHEMA_FAITHFUL,554.01,1910.78,0.117572,1.592727,1.804827,1.617133,0.840858,35_TO_BELOW_46,1,0,0,0,0,1,1,1,1,0,13127.91,8346.95,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,4780.96,25084547.87,9135362.75
GEO-000023,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Calc-silicate rock,63.61,64.89,1.28,3.632,238.62,HIVRA_STYLE,29.36,37.99,12.0,17.01,22.91,1.167,0.374,9.48,3.86,1.82,12.01,0.121051,0.154135,0.13575,0.093273,0.151926,0.100735,0.144369,0.078357,0.129694,0.132946,SYNTHETIC_SCHEMA_FAITHFUL,305.43,1109.32,0.120224,1.455405,1.508175,1.842452,0.975539,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,4224834.13,-5034604.45
GEO-000024,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Biotite gneiss,20.04,22.18,2.14,3.474,396.22,HIVRA_STYLE,30.09,39.56,12.0,13.43,31.14,0.761,0.456,5.6,3.89,2.39,12.01,0.179921,0.214195,0.16279,0.109898,0.181032,0.148994,0.194493,0.146496,0.167859,0.175754,SYNTHETIC_SCHEMA_FAITHFUL,847.91,2945.64,0.086964,1.481283,1.215029,1.327634,0.955079,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,11218440.48,-13368669.31
GEO-000025,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartzite,14.79,16.44,1.65,3.429,165.09,HIVRA_STYLE,32.54,42.13,12.0,12.46,27.95,0.64,0.474,6.66,4.33,2.64,12.01,0.124368,0.150282,0.158928,0.074789,0.128089,0.08867,0.114262,0.104707,0.123045,0.085853,SYNTHETIC_SCHEMA_FAITHFUL,272.4,934.06,0.094353,2.125018,1.444558,1.091255,1.433206,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,3557358.17,-4239193.95
GEO-000026,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,98.29,99.4,1.11,3.626,152.74,HIVRA_STYLE,18.55,24.14,12.0,8.39,40.65,1.9,0.234,11.19,4.16,2.13,12.01,0.05844,0.15362,0.082867,0.051246,0.066175,0.09,0.096478,0.054677,0.10004,0.073578,SYNTHETIC_SCHEMA_FAITHFUL,169.54,614.75,0.448835,1.617043,0.735278,1.764508,1.359646,BELOW_25,0,1,0,0,0,0,0,0,0,1,5154.44,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-3192.51,3168691.99,-1962595.52
GEO-000027,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,41.13,42.11,0.98,3.39,192.24,MANDRI_STYLE,47.8,37.66,10.45,42.0,10.27,1.945,0.337,7.654999999999999,3.43,2.295,2.99,0.140045,0.195396,0.176471,0.130791,0.144788,0.124121,0.179889,0.122304,0.181726,0.127059,SYNTHETIC_SCHEMA_FAITHFUL,188.4,638.68,0.16501,1.349259,1.166507,1.470835,1.430249,46_AND_ABOVE,1,0,0,0,0,1,1,1,1,0,25074.28,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,16727.33,16014441.15,10683411.12
GEO-000028,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,95.58,96.09,0.51,3.427,375.91,HIVRA_STYLE,32.96,42.8,12.0,5.31,36.4,0.776,0.273,3.69,3.48,2.33,12.01,0.060751,0.115876,0.065348,0.066938,0.049727,0.0507,0.083275,0.056444,0.089184,0.091831,SYNTHETIC_SCHEMA_FAITHFUL,191.71,656.99,0.312098,0.976247,0.980809,1.475356,0.971175,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,2502139.85,-2981722.84
GEO-000029,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,94.28,95.49,1.21,3.427,391.8,HIVRA_STYLE,44.26,57.53,12.0,17.68,7.22,0.533,0.1,5.89,3.29,1.8,12.01,0.133246,0.209006,0.131262,0.133112,0.181968,0.151038,0.182995,0.161186,0.152027,0.173321,SYNTHETIC_SCHEMA_FAITHFUL,474.08,1624.67,0.221357,0.986102,1.204783,1.135303,0.877141,35_TO_BELOW_46,0,1,0,0,0,0,0,0,0,1,13127.91,8346.95,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,4780.96,21328521.54,7767482.28
GEO-000030,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-biotite-muscovite schist,250.0,250.48,0.48,3.397,552.9,MANDRI_STYLE,30.91,37.66,8.47,16.47,53.7,1.262,0.337,7.654999999999999,3.43,2.295,10.98,0.068392,0.124752,0.093939,0.100094,0.074991,0.045524,0.129316,0.069917,0.098054,0.097856,SYNTHETIC_SCHEMA_FAITHFUL,265.39,901.53,0.291803,0.938508,1.647285,1.849564,1.002023,25_TO_BELOW_35,1,0,0,0,0,1,1,1,1,0,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,3433467.99,-4091557.84
GEO-000031,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,98.35,98.79,0.45,3.4,118.9,HIVRA_STYLE,21.65,27.72,12.0,13.76,40.37,0.687,0.356,9.3,3.73,3.21,12.01,0.236217,0.318897,0.276811,0.248833,0.274718,0.266472,0.269685,0.263609,0.2749,0.247021,SYNTHETIC_SCHEMA_FAITHFUL,53.5,181.9,0.148942,1.112437,1.030945,1.023049,1.112861,BELOW_25,0,1,0,0,0,0,0,0,0,1,5154.44,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-3192.51,937592.64,-580717.57
GEO-000032,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Dolomitic marble,121.77,127.19,5.42,3.419,120.65,HIVRA_STYLE,40.97,52.83,12.0,7.1,20.62,0.409,0.443,7.49,4.1,2.79,12.01,0.153103,0.254416,0.209097,0.210366,0.206644,0.168667,0.239942,0.179498,0.183671,0.199414,SYNTHETIC_SCHEMA_FAITHFUL,653.92,2235.75,0.248609,0.993968,1.22516,1.336739,0.921054,35_TO_BELOW_46,0,1,0,0,0,0,0,0,0,1,13127.91,8346.95,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,4780.96,29350724.78,10689031.32
GEO-000033,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,35.69,36.81,1.13,3.377,530.07,HIVRA_STYLE,35.08,45.15,12.0,6.15,28.39,0.723,0.175,8.73,4.48,2.61,12.01,0.05836,0.135459,0.137906,0.074416,0.102246,0.102743,0.117768,0.109627,0.110965,0.097243,SYNTHETIC_SCHEMA_FAITHFUL,598.98,2022.76,0.397789,1.853177,0.995163,1.074261,1.14111,35_TO_BELOW_46,0,1,0,0,0,0,0,0,0,1,13127.91,8346.95,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,4780.96,26554611.23,9670734.65
GEO-000034,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-biotite-muscovite schist,40.56,41.77,1.21,3.388,160.28,HIVRA_STYLE,15.14,19.33,12.0,6.81,46.46,1.652,0.254,12.09,3.52,2.19,12.01,0.14644,0.229934,0.212875,0.150711,0.214746,0.154916,0.155616,0.19104,0.165825,0.162299,SYNTHETIC_SCHEMA_FAITHFUL,193.94,657.07,0.221838,1.412472,1.386209,0.814573,1.021725,BELOW_25,0,1,0,0,0,0,0,0,0,1,5154.44,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-3192.51,3386827.89,-2097702.55
GEO-000035,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,40.58,41.81,1.23,3.66,268.85,HIVRA_STYLE,32.16,41.78,12.0,8.99,32.52,0.535,0.456,5.49,3.59,2.4,12.01,0.179926,0.263083,0.23103,0.169623,0.235688,0.212642,0.215632,0.214366,0.2309,0.227603,SYNTHETIC_SCHEMA_FAITHFUL,330.69,1210.33,0.18771,1.36202,1.108379,1.005906,1.014486,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,4609529.7,-5493034.29
